id	filename	md5	size	state
02c69ef2-120a-40df-9f8a-b1429e89b675	02c69ef2-120a-40df-9f8a-b1429e89b675/e0f3f77b-9fa3-470e-8900-eda1f429bb0f.rna_seq.augmented_star_gene_counts.tsv	a14a1074623506a097aad53f4e528fd7	4231236	validated
02fa930a-9947-49e2-9d77-95fea53ba469	02fa930a-9947-49e2-9d77-95fea53ba469/ba34ebb7-142c-4b38-a488-98a7b7ed5e3f.rna_seq.augmented_star_gene_counts.tsv	c4408dcc62be63fbb2ba1fbb2cc42c23	4259014	validated
032b52ae-de5f-4f4c-989f-cd28cce9a400	032b52ae-de5f-4f4c-989f-cd28cce9a400/3aadf185-5bd9-4650-8704-4d09e84abcb3.rna_seq.augmented_star_gene_counts.tsv	1a94714f5693a5b8300e3f274c46aa6d	4246600	validated
09ecfabd-fc24-4c01-ae78-890f4f0bbaa6	09ecfabd-fc24-4c01-ae78-890f4f0bbaa6/52fe8f1b-e67c-488d-8a2c-ce33de66e66f.rna_seq.augmented_star_gene_counts.tsv	73f5aed2f87c036fef811899d5be0d90	4240416	validated
0a654803-712b-4cb7-81fb-8d926a77e75a	0a654803-712b-4cb7-81fb-8d926a77e75a/44114335-e769-4bc9-81d1-b20b800e5d5a.rna_seq.augmented_star_gene_counts.tsv	8b66718429f79a2bf3a8081bab75394b	4245963	validated
0d0e09e2-f8bd-459a-b8a3-a3d3153d613e	0d0e09e2-f8bd-459a-b8a3-a3d3153d613e/dd6e20c4-6bfd-408d-b4a7-ffac0db6a6c8.rna_seq.augmented_star_gene_counts.tsv	8f3b620507e4cf91c6cada904bcf16b7	4255386	validated
0fc1b0dd-0211-4a5c-a4dc-b73b3754dfb7	0fc1b0dd-0211-4a5c-a4dc-b73b3754dfb7/cfc94988-f463-4d29-8c4b-96106607e7f7.rna_seq.augmented_star_gene_counts.tsv	2be249f9bbba9a1017319fe2e242a482	4235420	validated
106669c1-e20c-4ed8-863c-3ada529f58a4	106669c1-e20c-4ed8-863c-3ada529f58a4/3fb1b531-00c6-4f08-95c7-03de14c74f9a.rna_seq.augmented_star_gene_counts.tsv	86d1119e1531241f2ff27660110f828e	4249733	validated
1165226c-f95c-4977-b9c4-78de4586686c	1165226c-f95c-4977-b9c4-78de4586686c/2bc5c930-1436-42f9-bcd8-a8c120fec2cc.rna_seq.augmented_star_gene_counts.tsv	9385161cd0315c3d35b9f0118150aa11	4237097	validated
129572ca-ded1-46f8-beb7-ef394008fb5f	129572ca-ded1-46f8-beb7-ef394008fb5f/e68e3ad7-99b9-4707-97a1-a4c2c865a93b.rna_seq.augmented_star_gene_counts.tsv	9031bef51dbff1bc3b401d3bb59d9579	4253353	validated
146ff077-a728-492d-a33b-b8e4ccaa16f1	146ff077-a728-492d-a33b-b8e4ccaa16f1/64189146-d3af-4501-a524-e11ddd0f437c.rna_seq.augmented_star_gene_counts.tsv	07c6b9826ffc87d8d410ce3fd7ba4ca9	4248155	validated
1479d34c-7226-4f50-a3bb-e646b5dd9a47	1479d34c-7226-4f50-a3bb-e646b5dd9a47/71cda463-409b-457c-b8d9-556bfb0bfc29.rna_seq.augmented_star_gene_counts.tsv	40da05078b85fb4128be7aa9b6d039a6	4251463	validated
15551add-2d6a-4a0b-ab47-5bc45859e474	15551add-2d6a-4a0b-ab47-5bc45859e474/b8120e5e-775e-4636-8011-1bb169618364.rna_seq.augmented_star_gene_counts.tsv	3b3ca504c13b24e5f75364611fb95f7b	4254141	validated
15eadac3-48d0-44f4-be28-8427a5c6b62b	15eadac3-48d0-44f4-be28-8427a5c6b62b/8e4d6c1e-89dc-4e27-ad74-84e54be78b59.rna_seq.augmented_star_gene_counts.tsv	723814fa5bbf012d22a86e8aa74981fb	4245248	validated
1725ee1b-d90d-456e-a468-dd36528b539a	1725ee1b-d90d-456e-a468-dd36528b539a/c749c8ec-bfdb-4301-913d-2ddb115412fc.rna_seq.augmented_star_gene_counts.tsv	f8917da9972e5593ef89f61a81b316fa	4235656	validated
1928e314-d29f-4cb5-b261-c9fe40609e8c	1928e314-d29f-4cb5-b261-c9fe40609e8c/0c4d26bc-c4fb-4d6c-8331-9d5afcae11c7.rna_seq.augmented_star_gene_counts.tsv	1ad8fad7eeabe6b82941da9d550aef08	4239043	validated
