id	filename	md5	size	state
00362664-cb13-4998-a26c-618dba69ea00	00362664-cb13-4998-a26c-618dba69ea00/a7732b3f-6294-47ec-b869-0aac6ee6c815.rna_seq.augmented_star_gene_counts.tsv	8e84f26145525d1ac3f563e2f2a05a89	4254111	validated
0058f38c-d05f-4c60-bcf6-cd8f6ce1c4ff	0058f38c-d05f-4c60-bcf6-cd8f6ce1c4ff/ff024980-d908-476a-8f08-fac87e552c17.rna_seq.augmented_star_gene_counts.tsv	c28afb2c355bb633139b65ff1542ffda	4254749	validated
03adfb2d-63a4-43fb-87ae-0d174116490e	03adfb2d-63a4-43fb-87ae-0d174116490e/b7e78004-11be-455e-bea9-576532363b87.rna_seq.augmented_star_gene_counts.tsv	728184e043e67482d112f2a67ff81378	4239543	validated
06fbec23-68bc-49ef-8a2a-3c5289d146e2	06fbec23-68bc-49ef-8a2a-3c5289d146e2/e343b3a9-713c-4448-b123-3f1cc4b25905.rna_seq.augmented_star_gene_counts.tsv	44627d099630f8d3faca7dbf4a018572	4231172	validated
09460119-0661-4fe5-8004-56b005929dae	09460119-0661-4fe5-8004-56b005929dae/ba849c19-28be-469f-807c-5842d7d1f235.rna_seq.augmented_star_gene_counts.tsv	996259e76515bebc55642b72ab18f365	4240994	validated
0a2571b8-6932-487c-9190-1fbe4e1728d9	0a2571b8-6932-487c-9190-1fbe4e1728d9/135e6f87-7226-4b93-b69c-d2a202ae2256.rna_seq.augmented_star_gene_counts.tsv	8dcf2484bef87aab3c079ae3eae1c8df	4236958	validated
0a2a899a-5dcb-44dd-aab7-5b13001c3e02	0a2a899a-5dcb-44dd-aab7-5b13001c3e02/8085d4b1-43a3-453c-ab23-eba1f515f4a9.rna_seq.augmented_star_gene_counts.tsv	d5567a0b5c21a97829cceec9f21605e4	4256658	validated
0cd3bd7b-6496-489d-aeca-62348e101b25	0cd3bd7b-6496-489d-aeca-62348e101b25/d1dea496-436a-474a-b0c7-b3c70f8d4fcf.rna_seq.augmented_star_gene_counts.tsv	6101e24e2fea2b2154991058b2cec56b	4248358	validated
0d551c2a-a684-4b1e-bc8e-a30b0ee01cd7	0d551c2a-a684-4b1e-bc8e-a30b0ee01cd7/b88ddc49-d868-4ec2-8fbc-8b2f3ef10e10.rna_seq.augmented_star_gene_counts.tsv	7f86473ec8732d339a3ee04ea9a08d22	4247711	validated
0d7d0e69-5f42-4685-a2ab-5e02afaa35f9	0d7d0e69-5f42-4685-a2ab-5e02afaa35f9/715bd371-4f22-4f97-a9df-ebaf34715a1e.rna_seq.augmented_star_gene_counts.tsv	44f45d623193f5a83739bccdc2f961ed	4258246	validated
